id,season,year,month,hour,weekday,holiday,working_day,weather_situation,temperature,feeling_temperature,humidity,windspeed,casual_users,registered_users,total_users,casual_users_fraction,registered_users_fraction,weekday_normalized,hour_normalized,weather_situation_normalized
1,1,0,1,0,6,False,False,1,0.24,0.2879,0.81,0.0,3,13,16,0.1875,0.8125,1.0,0.0,0.0
2,1,0,1,1,6,False,False,1,0.22,0.2727,0.8,0.0,8,32,40,0.2,0.8,1.0,0.0435,0.0
3,1,0,1,2,6,False,False,1,0.22,0.2727,0.8,0.0,5,27,32,0.1562,0.8438,1.0,0.087,0.0
4,1,0,1,3,6,False,False,1,0.24,0.2879,0.75,0.0,3,10,13,0.2308,0.7692,1.0,0.1304,0.0
5,1,0,1,4,6,False,False,1,0.24,0.2879,0.75,0.0,0,1,1,0.0,1.0,1.0,0.1739,0.0
6,1,0,1,5,6,False,False,2,0.24,0.2576,0.75,0.0896,0,1,1,0.0,1.0,1.0,0.2174,0.3333
7,1,0,1,6,6,False,False,1,0.22,0.2727,0.8,0.0,2,0,2,1.0,0.0,1.0,0.2609,0.0
8,1,0,1,7,6,False,False,1,0.2,0.2576,0.86,0.0,1,2,3,0.3333,0.6667,1.0,0.3043,0.0
9,1,0,1,8,6,False,False,1,0.24,0.2879,0.75,0.0,1,7,8,0.125,0.875,1.0,0.3478,0.0
10,1,0,1,9,6,False,False,1,0.32,0.3485,0.76,0.0,8,6,14,0.5714,0.4286,1.0,0.3913,0.0
11,1,0,1,10,6,False,False,1,0.38,0.3939,0.76,0.2537,12,24,36,0.3333,0.6667,1.0,0.4348,0.0
12,1,0,1,11,6,False,False,1,0.36,0.3333,0.81,0.2836,26,30,56,0.4643,0.5357,1.0,0.4783,0.0
13,1,0,1,12,6,False,False,1,0.42,0.4242,0.77,0.2836,29,55,84,0.3452,0.6548,1.0,0.5217,0.0
14,1,0,1,13,6,False,False,2,0.46,0.4545,0.72,0.2985,47,47,94,0.5,0.5,1.0,0.5652,0.3333
15,1,0,1,14,6,False,False,2,0.46,0.4545,0.72,0.2836,35,71,106,0.3302,0.6698,1.0,0.6087,0.3333
16,1,0,1,15,6,False,False,2,0.44,0.4394,0.77,0.2985,40,70,110,0.3636,0.6364,1.0,0.6522,0.3333
17,1,0,1,16,6,False,False,2,0.42,0.4242,0.82,0.2985,41,52,93,0.4409,0.5591,1.0,0.6957,0.3333
18,1,0,1,17,6,False,False,2,0.44,0.4394,0.82,0.2836,15,52,67,0.2239,0.7761,1.0,0.7391,0.3333
19,1,0,1,18,6,False,False,3,0.42,0.4242,0.88,0.2537,9,26,35,0.2571,0.7429,1.0,0.7826,0.6667
20,1,0,1,19,6,False,False,3,0.42,0.4242,0.88,0.2537,6,31,37,0.1622,0.8378,1.0,0.8261,0.6667
